"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y", "h"
8, -4.983333333333334e+01, -5.000000000000000e+01, -1.525833122240141e-01, -3.051666244480281e-01, 6.281766664000443e-06, 0.000000000000000e+00, 0.000000000000000e+00
4, -5.000000000000000e+01, -5.000000000000000e+01, 8.164739094627542e-02, 1.632947818925508e-01, 4.972548036264857e-06, -4.972548036264857e-06, 0.000000000000000e+00
9, -4.966666666666667e+01, -5.000000000000000e+01, -1.795011554327045e-01, -3.590023108654090e-01, 4.597724454946846e-06, 0.000000000000000e+00, 0.000000000000000e+00
10, -4.950000000000001e+01, -5.000000000000000e+01, -1.510291440163520e-01, -3.020582880327040e-01, 2.835060241785957e-06, 0.000000000000000e+00, 0.000000000000000e+00
11, -4.933333333333334e+01, -5.000000000000000e+01, -1.231347031696657e-01, -2.462694063393314e-01, 1.548857913804836e-06, 0.000000000000000e+00, 0.000000000000000e+00
12, -4.916666666666668e+01, -5.000000000000000e+01, -1.036521746505061e-01, -2.073043493010122e-01, 6.912740362613272e-07, 0.000000000000000e+00, 0.000000000000000e+00
13, -4.900000000000001e+01, -5.000000000000000e+01, -9.036001351177474e-02, -1.807200270235494e-01, 7.669983578849741e-08, 0.000000000000000e+00, 0.000000000000000e+00
14, -4.883333333333334e+01, -5.000000000000000e+01, -8.148526843606628e-02, -1.629705368721325e-01, -3.671069663617511e-07, 0.000000000000000e+00, 0.000000000000000e+00
15, -4.866666666666669e+01, -5.000000000000000e+01, -7.372739261410387e-02, -1.474547852282077e-01, -6.387969691650470e-07, 0.000000000000000e+00, 0.000000000000000e+00
16, -4.850000000000002e+01, -5.000000000000000e+01, -6.684926707515848e-02, -1.336985341503169e-01, -6.253672062718334e-07, 0.000000000000000e+00, 0.000000000000000e+00
17, -4.833333333333336e+01, -5.000000000000000e+01, -6.007718750006390e-02, -1.201543750001278e-01, -7.278087639356886e-07, 0.000000000000000e+00, 0.000000000000000e+00
18, -4.816666666666669e+01, -5.000000000000000e+01, -5.302335219590478e-02, -1.060467043918095e-01, -7.806825980809636e-07, 0.000000000000000e+00, 0.000000000000000e+00
19, -4.800000000000003e+01, -5.000000000000000e+01, -4.601648916201118e-02, -9.203297832402235e-02, -8.674511706022685e-07, 0.000000000000000e+00, 0.000000000000000e+00
